sensor,indice_balanza,masa_g,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc_sin_corregir,correccion_reloj_s
balanza,112,-0.6,,57.338022900001306,2026-05-28T12:42:19.270,2026-05-28T12:57:49.270,-930
balanza,113,,Error desde Arduino: HX711 not found.,57.36114550000093,2026-05-28T12:42:19.293,2026-05-28T12:57:49.293,-930
balanza,114,-0.68,,58.35333770000034,2026-05-28T12:42:20.276,2026-05-28T12:57:50.276,-930
balanza,115,,Error desde Arduino: HX711 not found.,58.3766556999999,2026-05-28T12:42:20.303,2026-05-28T12:57:50.303,-930
balanza,116,-0.7,,59.36873700000069,2026-05-28T12:42:21.293,2026-05-28T12:57:51.293,-930
balanza,117,,Error desde Arduino: HX711 not found.,59.392044400001396,2026-05-28T12:42:21.320,2026-05-28T12:57:51.320,-930
balanza,118,-0.69,,60.38420920000135,2026-05-28T12:42:22.310,2026-05-28T12:57:52.310,-930
balanza,119,,Error desde Arduino: HX711 not found.,60.407353100001274,2026-05-28T12:42:22.336,2026-05-28T12:57:52.336,-930
balanza,120,-0.68,,61.3996285000012,2026-05-28T12:42:23.326,2026-05-28T12:57:53.326,-930
balanza,121,,Error desde Arduino: HX711 not found.,61.42286370000147,2026-05-28T12:42:23.353,2026-05-28T12:57:53.353,-930
balanza,122,-0.66,,62.415127700000085,2026-05-28T12:42:24.343,2026-05-28T12:57:54.343,-930
balanza,123,,Error desde Arduino: HX711 not found.,62.43839230000049,2026-05-28T12:42:24.371,2026-05-28T12:57:54.371,-930
balanza,124,-0.71,,63.430489399999715,2026-05-28T12:42:25.363,2026-05-28T12:57:55.363,-930
balanza,125,,Error desde Arduino: HX711 not found.,63.45368170000074,2026-05-28T12:42:25.376,2026-05-28T12:57:55.376,-930
balanza,126,-0.72,,64.4458895000007,2026-05-28T12:42:26.376,2026-05-28T12:57:56.376,-930
balanza,127,,Error desde Arduino: HX711 not found.,64.46892690000095,2026-05-28T12:42:26.393,2026-05-28T12:57:56.393,-930
balanza,128,-0.76,,65.4613156000014,2026-05-28T12:42:27.393,2026-05-28T12:57:57.393,-930
balanza,129,,Error desde Arduino: HX711 not found.,65.48452700000053,2026-05-28T12:42:27.410,2026-05-28T12:57:57.410,-930
balanza,130,-0.7,,66.4768976000014,2026-05-28T12:42:28.409,2026-05-28T12:57:58.409,-930
balanza,131,,Error desde Arduino: HX711 not found.,66.50014940000074,2026-05-28T12:42:28.426,2026-05-28T12:57:58.426,-930
balanza,132,-0.77,,67.49243910000041,2026-05-28T12:42:29.421,2026-05-28T12:57:59.421,-930
balanza,133,,Error desde Arduino: HX711 not found.,67.5155276000005,2026-05-28T12:42:29.443,2026-05-28T12:57:59.443,-930
balanza,134,-0.74,,68.50788410000132,2026-05-28T12:42:30.436,2026-05-28T12:58:00.436,-930
balanza,135,-0.73,,68.51998210000056,2026-05-28T12:42:30.443,2026-05-28T12:58:00.443,-930
balanza,136,,Error desde Arduino: HX711 not found.,68.54311000000052,2026-05-28T12:42:30.475,2026-05-28T12:58:00.475,-930
balanza,137,-0.82,,69.53532180000002,2026-05-28T12:42:31.467,2026-05-28T12:58:01.467,-930
balanza,138,,Error desde Arduino: HX711 not found.,69.55840040000112,2026-05-28T12:42:31.486,2026-05-28T12:58:01.486,-930
balanza,139,-0.78,,70.55072520000067,2026-05-28T12:42:32.479,2026-05-28T12:58:02.479,-930
balanza,140,,Error desde Arduino: HX711 not found.,70.57388379999975,2026-05-28T12:42:32.503,2026-05-28T12:58:02.503,-930
balanza,141,-0.83,,71.5661011000011,2026-05-28T12:42:33.493,2026-05-28T12:58:03.493,-930
balanza,142,,Error desde Arduino: HX711 not found.,71.58991229999992,2026-05-28T12:42:33.521,2026-05-28T12:58:03.521,-930
balanza,143,-0.87,,72.58154490000015,2026-05-28T12:42:34.510,2026-05-28T12:58:04.510,-930
balanza,144,,Error desde Arduino: HX711 not found.,72.60467140000037,2026-05-28T12:42:34.531,2026-05-28T12:58:04.531,-930
balanza,145,-0.85,,73.59696230000009,2026-05-28T12:42:35.529,2026-05-28T12:58:05.529,-930
balanza,146,,Error desde Arduino: HX711 not found.,73.62017590000141,2026-05-28T12:42:35.543,2026-05-28T12:58:05.543,-930
balanza,147,-0.83,,74.61247320000075,2026-05-28T12:42:36.543,2026-05-28T12:58:06.543,-930
balanza,148,,Error desde Arduino: HX711 not found.,74.63577919999989,2026-05-28T12:42:36.568,2026-05-28T12:58:06.568,-930
balanza,149,-0.9,,75.62797820000014,2026-05-28T12:42:37.559,2026-05-28T12:58:07.559,-930
balanza,150,,Error desde Arduino: HX711 not found.,75.65111520000028,2026-05-28T12:42:37.576,2026-05-28T12:58:07.576,-930
balanza,151,-0.84,,76.64349089999996,2026-05-28T12:42:38.576,2026-05-28T12:58:08.576,-930
