ind_hp,error_hp,voltaje_V,t_hp,fecha_hora_corregida_hp,fecha_hora_pc_hp,sensor_hp,tiempo_s,ind_bal,error_bal,t_bal,fecha_hora_corregida_bal,fecha_hora_pc_bal,masa_g,sensor_bal,delta_t_s
56,,8.893e-05,14.214787599999909,2026-05-28T08:37:14.358,2026-05-28T08:52:44.358,multimetro,14.214787599999909,25.0,Error Arduino: HX711 not found.,14.060335399999985,2026-05-28T08:37:14.199,2026-05-28T08:52:44.199,,balanza,-0.15445219999992332
57,,8.8951e-05,14.464618199999904,2026-05-28T08:37:14.608,2026-05-28T08:52:44.608,multimetro,14.464618199999904,25.0,Error Arduino: HX711 not found.,14.060335399999985,2026-05-28T08:37:14.199,2026-05-28T08:52:44.199,,balanza,-0.404282799999919
58,,8.9328e-05,14.714766899999859,2026-05-28T08:37:14.859,2026-05-28T08:52:44.859,multimetro,14.714766899999859,26.0,,15.052816399999983,2026-05-28T08:37:15.197,2026-05-28T08:52:45.197,48.62,balanza,0.3380495000001247
59,,8.9475e-05,14.964486800000032,2026-05-28T08:37:15.107,2026-05-28T08:52:45.107,multimetro,14.964486800000032,26.0,,15.052816399999983,2026-05-28T08:37:15.197,2026-05-28T08:52:45.197,48.62,balanza,0.08832959999995182
60,,8.892e-05,15.214728899999955,2026-05-28T08:37:15.357,2026-05-28T08:52:45.357,multimetro,15.214728899999955,27.0,Error Arduino: HX711 not found.,15.075980299999856,2026-05-28T08:37:15.214,2026-05-28T08:52:45.214,,balanza,-0.13874860000009903
61,,8.8606e-05,15.46488290000002,2026-05-28T08:37:15.607,2026-05-28T08:52:45.607,multimetro,15.46488290000002,27.0,Error Arduino: HX711 not found.,15.075980299999856,2026-05-28T08:37:15.214,2026-05-28T08:52:45.214,,balanza,-0.38890260000016497
62,,8.9328e-05,15.716220799999974,2026-05-28T08:37:15.857,2026-05-28T08:52:45.857,multimetro,15.716220799999974,28.0,,16.068411999999853,2026-05-28T08:37:16.206,2026-05-28T08:52:46.206,-0.07,balanza,0.35219119999987925
63,,8.9475e-05,15.965195900000026,2026-05-28T08:37:16.109,2026-05-28T08:52:46.109,multimetro,15.965195900000026,28.0,,16.068411999999853,2026-05-28T08:37:16.206,2026-05-28T08:52:46.206,-0.07,balanza,0.10321609999982684
64,,8.9297e-05,16.214883699999973,2026-05-28T08:37:16.358,2026-05-28T08:52:46.358,multimetro,16.214883699999973,29.0,Error Arduino: HX711 not found.,16.091785200000004,2026-05-28T08:37:16.232,2026-05-28T08:52:46.232,,balanza,-0.12309849999996914
65,,8.8564e-05,16.46458779999989,2026-05-28T08:37:16.605,2026-05-28T08:52:46.605,multimetro,16.46458779999989,29.0,Error Arduino: HX711 not found.,16.091785200000004,2026-05-28T08:37:16.232,2026-05-28T08:52:46.232,,balanza,-0.3728025999998863
