indice,error,tiempo_s,fecha_hora_corregida,fecha_hora_pc,masa_g,sensor,voltaje_V
73,,38.563511500000004,2026-05-28T08:42:07.690,2026-05-28T08:57:37.690,-0.76,balanza,
74,Error Arduino: HX711 not found.,38.58670639999991,2026-05-28T08:42:07.717,2026-05-28T08:57:37.717,,balanza,
75,,39.57905559999995,2026-05-28T08:42:08.706,2026-05-28T08:57:38.706,-0.76,balanza,
76,Error Arduino: HX711 not found.,39.60211470000013,2026-05-28T08:42:08.730,2026-05-28T08:57:38.730,,balanza,
20,,40.41449480000006,2026-05-28T08:42:09.542,2026-05-28T08:57:39.542,,multimetro,8.962e-06
77,,40.59473040000012,2026-05-28T08:42:09.724,2026-05-28T08:57:39.724,-0.77,balanza,
78,Error Arduino: HX711 not found.,40.61785480000003,2026-05-28T08:42:09.747,2026-05-28T08:57:39.747,,balanza,
79,,41.61042939999993,2026-05-28T08:42:10.740,2026-05-28T08:57:40.740,-0.82,balanza,
80,Error Arduino: HX711 not found.,41.63371649999999,2026-05-28T08:42:10.764,2026-05-28T08:57:40.764,,balanza,
21,,42.42471980000005,2026-05-28T08:42:11.550,2026-05-28T08:57:41.550,,multimetro,1.159e-05
81,,42.62607509999998,2026-05-28T08:42:11.749,2026-05-28T08:57:41.749,-0.73,balanza,
82,Error Arduino: HX711 not found.,42.64912120000008,2026-05-28T08:42:11.780,2026-05-28T08:57:41.780,,balanza,
83,,43.64171729999998,2026-05-28T08:42:12.772,2026-05-28T08:57:42.772,-0.75,balanza,
84,Error Arduino: HX711 not found.,43.66498709999996,2026-05-28T08:42:12.792,2026-05-28T08:57:42.792,,balanza,
22,,44.43490079999992,2026-05-28T08:42:13.566,2026-05-28T08:57:43.566,,multimetro,8.962e-06
85,,44.65726829999994,2026-05-28T08:42:13.782,2026-05-28T08:57:43.782,-0.77,balanza,
86,Error Arduino: HX711 not found.,44.68030210000006,2026-05-28T08:42:13.811,2026-05-28T08:57:43.811,,balanza,
87,,45.672837900000104,2026-05-28T08:42:14.804,2026-05-28T08:57:44.804,-0.73,balanza,
88,Error Arduino: HX711 not found.,45.69609009999999,2026-05-28T08:42:14.823,2026-05-28T08:57:44.823,,balanza,
23,,46.44498799999997,2026-05-28T08:42:15.575,2026-05-28T08:57:45.575,,multimetro,1.1894e-05
89,,46.688459100000046,2026-05-28T08:42:15.819,2026-05-28T08:57:45.819,-0.74,balanza,
90,Error Arduino: HX711 not found.,46.71173820000013,2026-05-28T08:42:15.840,2026-05-28T08:57:45.840,,balanza,
91,,47.70413159999998,2026-05-28T08:42:16.830,2026-05-28T08:57:46.830,-0.74,balanza,
92,Error Arduino: HX711 not found.,47.7272289,2026-05-28T08:42:16.850,2026-05-28T08:57:46.850,,balanza,
24,,48.45470360000013,2026-05-28T08:42:17.583,2026-05-28T08:57:47.583,,multimetro,2.293e-06
93,,48.71980159999998,2026-05-28T08:42:17.847,2026-05-28T08:57:47.847,-0.8,balanza,
94,Error Arduino: HX711 not found.,48.74301020000007,2026-05-28T08:42:17.873,2026-05-28T08:57:47.873,,balanza,
95,,49.73541660000001,2026-05-28T08:42:18.866,2026-05-28T08:57:48.866,-0.77,balanza,
96,Error Arduino: HX711 not found.,49.75874810000005,2026-05-28T08:42:18.890,2026-05-28T08:57:48.890,,balanza,
25,,50.46457839999994,2026-05-28T08:42:19.590,2026-05-28T08:57:49.590,,multimetro,1.3202e-05
97,,50.751097399999935,2026-05-28T08:42:19.880,2026-05-28T08:57:49.880,-0.7,balanza,
98,,50.76328639999997,2026-05-28T08:42:19.890,2026-05-28T08:57:49.890,-0.71,balanza,
99,Error Arduino: HX711 not found.,50.786522200000036,2026-05-28T08:42:19.913,2026-05-28T08:57:49.913,,balanza,
100,,51.77889860000005,2026-05-28T08:42:20.906,2026-05-28T08:57:50.906,-0.73,balanza,
101,Error Arduino: HX711 not found.,51.801966700000094,2026-05-28T08:42:20.930,2026-05-28T08:57:50.930,,balanza,
26,,52.4745934,2026-05-28T08:42:21.604,2026-05-28T08:57:51.604,,multimetro,5.141e-06
102,,52.79448410000009,2026-05-28T08:42:21.923,2026-05-28T08:57:51.923,-0.71,balanza,
103,Error Arduino: HX711 not found.,52.81761800000004,2026-05-28T08:42:21.947,2026-05-28T08:57:51.947,,balanza,
104,,53.810032399999955,2026-05-28T08:42:22.940,2026-05-28T08:57:52.940,-0.73,balanza,
105,Error Arduino: HX711 not found.,53.833392900000035,2026-05-28T08:42:22.964,2026-05-28T08:57:52.964,,balanza,
27,,54.48495200000002,2026-05-28T08:42:23.613,2026-05-28T08:57:53.613,,multimetro,1.1559e-05
106,,54.82570030000011,2026-05-28T08:42:23.949,2026-05-28T08:57:53.949,-0.72,balanza,
107,Error Arduino: HX711 not found.,54.848956799999996,2026-05-28T08:42:23.979,2026-05-28T08:57:53.979,,balanza,
108,,55.841348800000105,2026-05-28T08:42:24.972,2026-05-28T08:57:54.972,-0.77,balanza,
109,Error Arduino: HX711 not found.,55.864520099999936,2026-05-28T08:42:24.991,2026-05-28T08:57:54.991,,balanza,
28,,56.494610400000056,2026-05-28T08:42:25.623,2026-05-28T08:57:55.623,,multimetro,4.167e-06
110,,56.85697069999992,2026-05-28T08:42:25.980,2026-05-28T08:57:55.980,-0.77,balanza,
111,Error Arduino: HX711 not found.,56.88029419999998,2026-05-28T08:42:26.006,2026-05-28T08:57:56.006,,balanza,
112,,57.87259139999992,2026-05-28T08:42:26.997,2026-05-28T08:57:56.997,-0.76,balanza,
113,Error Arduino: HX711 not found.,57.89594669999997,2026-05-28T08:42:27.026,2026-05-28T08:57:57.026,,balanza,
29,,58.50507369999991,2026-05-28T08:42:27.630,2026-05-28T08:57:57.630,,multimetro,1.5485e-05
114,,58.88820830000009,2026-05-28T08:42:28.013,2026-05-28T08:57:58.013,-0.76,balanza,
115,Error Arduino: HX711 not found.,58.91153910000003,2026-05-28T08:42:28.040,2026-05-28T08:57:58.040,,balanza,
116,,59.90395330000001,2026-05-28T08:42:29.030,2026-05-28T08:57:59.030,-0.72,balanza,
117,Error Arduino: HX711 not found.,59.92705569999998,2026-05-28T08:42:29.050,2026-05-28T08:57:59.050,,balanza,
30,,60.51447110000004,2026-05-28T08:42:29.640,2026-05-28T08:57:59.640,,multimetro,7.235e-06
118,,60.91950410000004,2026-05-28T08:42:30.047,2026-05-28T08:58:00.047,-0.73,balanza,
119,Error Arduino: HX711 not found.,60.942669900000055,2026-05-28T08:42:30.073,2026-05-28T08:58:00.073,,balanza,
120,,61.935110099999974,2026-05-28T08:42:31.066,2026-05-28T08:58:01.066,-0.78,balanza,
121,Error Arduino: HX711 not found.,61.95820700000013,2026-05-28T08:42:31.082,2026-05-28T08:58:01.082,,balanza,
31,,62.5248289000001,2026-05-28T08:42:31.647,2026-05-28T08:58:01.647,,multimetro,1.381e-05
122,,62.95079620000001,2026-05-28T08:42:32.080,2026-05-28T08:58:02.080,-0.78,balanza,
123,Error Arduino: HX711 not found.,62.97399949999999,2026-05-28T08:42:32.104,2026-05-28T08:58:02.104,,balanza,
