t,V,T,W
79.2389119999998,-0.004890913,-149.0812045892395,-25.91
79.76330400000006,-0.004904807,-149.66634359754048,-28.02
80.28767879999941,-0.00491625,-150.14990875581205,-22.85
80.81196329999966,-0.004930646,-150.76040863350994,-29.44
81.33648959999937,-0.004955617,-151.8251409194945,-23.08
81.86099739999918,-0.004973164,-152.57779409858932,-25.99
82.38552600000003,-0.004985591,-153.11310944555376,-26.36
82.91021139999975,-0.004987078,-153.17729259356636,-28.94
83.43462739999995,-0.004995883,-153.55790656566217,-24.38
83.95903399999952,-0.00500806,-154.08588878255577,-24.82
84.48352129999967,-0.005023701,-154.7668403511944,-23.97
85.00801389999924,-0.005036003,-155.30464902140096,-25.74
85.53242019999925,-0.005037951,-155.38999178389193,-28.89
86.05670989999999,-0.005046054,-155.74552556815482,-24.32
86.58100839999952,-0.005060283,-156.371966182163,-27.11
87.10526109999955,-0.005072511,-156.9124963068419,-25.26
87.62955059999967,-0.005078416,-157.17425491097677,-30.91
88.15378039999996,-0.005085305,-157.48024121016385,-28.16
88.67811139999958,-0.005092592,-157.8046243361668,-28.81
89.20246059999954,-0.005100811,-158.1713906459049,-25.98
89.72662199999922,-0.00510479,-158.3492937957192,-32.05
90.25096200000009,-0.005122714,-159.1534966976946,-26.73
90.77521049999996,-0.005137675,-159.8283334604809,-26.25
91.29949529999976,-0.005146407,-160.22373159260033,-29.47
91.82374199999958,-0.00515316,-160.53030008908448,-26.36
92.34803179999926,-0.005158929,-160.79274281381817,-32.92
92.87241929999982,-0.005162363,-160.94920206558206,-26.6
93.39660119999915,-0.005174937,-161.52363918818014,-33.05
93.9209140999992,-0.005183804,-161.93019616583632,-26.91
94.44529389999934,-0.005198943,-162.627185444549,-32.43
94.96955789999993,-0.005209706,-163.12493067032997,-29.1
95.4936665999994,-0.005217548,-163.48877195286676,-33.96
96.01808399999936,-0.005223484,-163.76485013440993,-28.28
96.54224859999977,-0.005233473,-164.23074340283512,-31.53
97.06660469999952,-0.005236373,-164.36631236560376,-28.42
97.59075080000002,-0.005247408,-164.8834687358832,-34.15
98.11509039999964,-0.005253794,-165.18369293910354,-28.67
98.63934679999966,-0.005257176,-165.3429732018514,-30.27
99.16363589999946,-0.005261458,-165.54492284956453,-28.58
99.6878928999995,-0.005264777,-165.70167329371745,-32.7
100.2120949,-0.005279487,-166.39871685452917,-30.68
100.7364177999998,-0.005288167,-166.81181871386062,-35.47
101.26065299999937,-0.00529782,-167.27281436701398,-29.41
101.78494769999998,-0.005302332,-167.48887137999918,-32.7
102.30925429999934,-0.00530718,-167.72143203349037,-34.94
102.8336491,-0.005312289,-167.96698036901435,-30.72
103.35782219999965,-0.005326434,-168.64934526527549,-31.88
103.88223010000002,-0.005333584,-168.99569687114467,-30.66
104.40661479999926,-0.005339584,-169.28709186835493,-34.41
104.93087119999927,-0.005349635,-169.7767771153846,-32.58
105.45526919999976,-0.005353634,-169.97215329297993,-32.52
105.97941449999962,-0.005359162,-170.24274573286218,-31.28
106.50374949999969,-0.005363308,-170.44608471582904,-34.48
107.02810099999988,-0.005365915,-170.5741182178006,-33.83
107.5523091999994,-0.005368805,-170.71620811701885,-36.94
108.07645569999931,-0.005367758,-170.66471204433736,-32.22
108.60078089999934,-0.005367234,-170.63894761719826,-33.47
109.12492359999942,-0.005365946,-170.57564148375937,-35.13
109.6491266999992,-0.005362146,-170.38906062208454,-37.0
110.17337839999982,-0.005362345,-170.39882447063704,-33.55
110.6976440999997,-0.005358492,-170.20991765831891,-33.57
111.22195629999987,-0.005361465,-170.35565357572824,-37.0
111.74627819999932,-0.005356911,-170.1324881952018,-36.1
112.27052039999944,-0.005358461,-170.20839896123294,-33.95
112.7948452999999,-0.005362041,-170.38390915825133,-34.28
113.3190842999993,-0.005372019,-170.87442352984164,-36.58
113.84344389999931,-0.005377526,-171.1459979620401,-35.88
114.3676593,-0.005391744,-171.8499919466177,-34.85
114.89191899999967,-0.00541439,-172.97991577681896,-34.34
115.41640599999936,-0.00541951,-173.23687535583505,-37.87
115.9405012999996,-0.005478842,-176.2565075208456,-35.77
116.46473029999925,-0.005484077,-176.52676256559516,-39.31
116.98912109999948,-0.005527285,-178.78227050036213,-34.43
117.51342279999972,-0.00551401,-178.08449261357467,-38.07
118.0375314999992,-0.005548571,-179.91030771644017,-35.98
118.56190539999989,-0.005561857,-180.6202499060383,-39.99
119.0861133999997,-0.005572651,-181.20041910110274,-35.59
119.61032979999982,-0.00557062,-181.09101998634836,-38.11
120.13463259999936,-0.005583089,-181.76439015812895,-35.82
120.65897539999968,-0.00566623,-186.36497486916147,-40.6
121.1832332999993,-0.005648201,-185.35038122964158,-36.62
121.70752489999995,-0.005745329,-190.93644606762768,-39.08
122.23172419999992,-0.00575405,-191.45307892729934,-36.91
122.7560469,-0.00577879,-192.93307475300432,-41.15
123.28033219999998,-0.005812471,-194.98330900410838,-40.09
123.8045422999994,-0.0058131,-195.02199691665666,-36.38
124.32884899999954,-0.00580353,-194.4349774367339,-41.51
124.85314440000002,-0.005807268,-194.6638573978926,-37.36
125.37750979999964,-0.005811299,-194.91126246906927,-40.58
125.9017162,-0.005796484,-194.0049546352526,-36.73
126.4261020999993,-0.005812922,-195.011047157358,-41.54
126.95035839999946,-0.005808838,-194.76014479235465,-37.7
127.47463829999924,-0.005804975,-194.5233939919339,-40.74
127.99880969999958,-0.005813654,-195.05608413988818,-37.7
128.5230718999992,-0.005809739,-194.81544435066863,-42.39
129.0473523999999,-0.005809781,-194.81802287407322,-38.85
129.57163059999948,-0.005813738,-195.0612536091678,-42.01
130.09586409999974,-0.005817277,-195.27929027836402,-38.18
130.62017209999976,-0.005818209,-195.33678932976284,-42.82
131.14450289999968,-0.005814345,-195.09861708405958,-39.06
131.66874430000007,-0.005816042,-195.20314854988806,-41.83
132.19298489999983,-0.005817235,-195.27669989458752,-39.0
132.71729229999983,-0.005816628,-195.23927014069454,-40.15
133.24140589999934,-0.005816429,-195.22700213688324,-40.65
133.76585199999954,-0.005819455,-195.41371186087312,-40.03
134.2902357999992,-0.005818826,-195.37487281392674,-40.22
134.8144061999992,-0.005821067,-195.51331717603253,-42.22
135.33882259999973,-0.005821088,-195.51461541658236,-41.74
135.86296999999922,-0.005824595,-195.7316576761538,-43.73
136.38725759999943,-0.005824773,-195.74268633206924,-40.36
136.91151379999974,-0.005827694,-195.92384142424106,-41.36
137.4358887999997,-0.005828385,-195.9667439416313,-42.35
137.96030100000007,-0.005831757,-196.17636741861088,-43.17
138.4843938999993,-0.005833809,-196.30414713185206,-42.35
139.00879019999957,-0.00583695,-196.50005655001118,-42.53
139.5330626999994,-0.005829066,-196.0090435742086,-43.17
140.05733509999936,-0.005844561,-196.9763667543476,-47.16
140.5814537999995,-0.005857198,-197.77227239863169,-45.1
141.1057596999999,-0.005862998,-198.13971072437872,-49.58
141.63000199999988,-0.00586415,-198.21285354161364,-48.24
142.15432819999933,-0.005866579,-198.36725240646544,-50.85
142.67851659999997,-0.005868411,-198.48386212128307,-48.53
143.20285739999963,-0.005870254,-198.60131040134942,-52.81
143.7270856999994,-0.005871008,-198.64940042143678,-47.49
144.2514881999996,-0.005871762,-198.69751376490586,-52.75
144.77588389999983,-0.005871625,-198.68876995017763,-51.84
145.30024779999985,-0.005871112,-198.656035357439,-49.51
145.82450960000006,-0.00587106,-198.65271783396742,-52.2
146.3486411999993,-0.005870045,-198.58798453402747,-49.83
146.8728943999995,-0.005869929,-198.5805891311146,-51.22
147.39705689999937,-0.005869751,-198.56924208456167,-50.06
147.9214508999994,-0.005870086,-198.59059855828167,-52.16
